player_id,sessions_count_total,avg_session_duration_sec,levels_completed,levels_failed,purchases_count,total_spend,first_event_time,last_event_time,days_since_install,days_since_last_active,at_risk
30,6,425.5,8,2,0,0.0,2026-08-01 08:07:00,2026-08-12 14:05:35,13.620243055555555,2.371226851851852,0
90,7,389.85714285714283,7,2,0,0.0,2026-08-01 08:21:00,2026-08-14 13:12:24,13.610520833333334,0.40815972222222224,0
54,8,472.375,11,7,0,0.0,2026-08-01 08:43:00,2026-08-11 18:18:28,13.595243055555555,3.195613425925926,1
121,2,223.5,1,1,0,0.0,2026-08-01 08:45:00,2026-08-04 12:28:01,13.593854166666667,10.438981481481482,1
104,10,261.9,10,1,0,0.0,2026-08-01 10:19:00,2026-08-10 10:42:15,13.528576388888888,4.5124305555555555,1
50,3,772.0,5,5,0,0.0,2026-08-01 10:52:00,2026-08-07 20:01:30,13.505659722222223,7.1240625,1
43,8,354.25,10,3,0,0.0,2026-08-01 11:15:00,2026-08-10 15:59:34,13.4896875,4.292071759259259,1
132,2,286.5,2,1,0,0.0,2026-08-01 11:28:00,2026-08-01 15:55:26,13.480659722222223,13.29494212962963,1
160,9,600.4444444444445,15,10,0,0.0,2026-08-01 12:58:00,2026-08-09 17:55:44,13.418159722222223,5.211400462962963,1
173,13,293.0,12,3,0,0.0,2026-08-01 13:42:00,2026-08-13 19:16:55,13.387604166666666,1.155023148148148,0
96,1,542.0,3,0,0,0.0,2026-08-01 14:11:00,2026-08-01 14:20:02,13.367465277777777,13.361192129629629,1
58,6,635.0,13,3,0,0.0,2026-08-01 14:30:00,2026-08-08 22:59:03,13.354270833333333,6.000763888888889,1
151,10,499.4,21,2,0,0.0,2026-08-01 14:52:00,2026-08-13 17:33:25,13.338993055555555,1.2268981481481482,0
68,1,646.0,2,1,0,0.0,2026-08-01 16:22:00,2026-08-01 16:32:46,13.276493055555555,13.269016203703703,1
61,2,441.5,3,1,0,0.0,2026-08-01 17:00:00,2026-08-01 21:25:45,13.250104166666667,13.065555555555555,1
150,3,476.0,5,2,0,0.0,2026-08-01 17:31:00,2026-08-10 10:43:03,13.22857638888889,4.511875,1
84,8,563.0,18,3,0,0.0,2026-08-01 17:32:00,2026-08-07 18:53:14,13.227881944444444,7.171469907407407,1
113,2,280.5,1,1,0,0.0,2026-08-01 18:43:00,2026-08-12 15:31:03,13.178576388888889,2.311875,0
25,10,575.5,14,11,4,30.96,2026-08-01 19:40:00,2026-08-13 20:33:36,13.138993055555556,1.1017708333333334,0
52,5,441.2,7,2,1,19.99,2026-08-01 19:41:00,2026-08-06 15:51:43,13.13829861111111,8.297523148148148,1
163,3,317.3333333333333,2,1,0,0.0,2026-08-01 20:56:00,2026-08-08 09:49:09,13.086215277777777,6.549305555555556,1
166,9,455.3333333333333,16,3,0,0.0,2026-08-02 08:00:00,2026-08-09 10:21:38,12.625104166666667,5.526747685185185,1
120,7,369.57142857142856,9,1,0,0.0,2026-08-02 08:07:00,2026-08-10 14:40:42,12.620243055555555,4.346840277777778,1
11,8,539.625,14,7,0,0.0,2026-08-02 08:09:00,2026-08-11 20:20:05,12.618854166666667,3.1111574074074073,1
162,7,471.0,10,5,0,0.0,2026-08-02 08:15:00,2026-08-09 12:35:39,12.6146875,5.433680555555555,1
124,4,311.25,5,1,0,0.0,2026-08-02 08:30:00,2026-08-06 16:06:51,12.604270833333333,8.28701388888889,1
111,4,313.5,4,1,0,0.0,2026-08-02 09:22:00,2026-08-09 10:05:51,12.568159722222223,5.537708333333334,1
17,10,518.0,18,5,4,36.96,2026-08-02 09:43:00,2026-08-12 20:40:49,12.553576388888889,2.0967592592592594,0
3,7,540.8571428571429,14,5,0,0.0,2026-08-02 09:48:00,2026-08-11 12:25:50,12.550104166666667,3.440497685185185,1
47,13,459.15384615384613,16,13,0,0.0,2026-08-02 10:12:00,2026-08-11 12:31:38,12.5334375,3.436469907407407,1
129,3,694.0,7,1,0,0.0,2026-08-02 10:32:00,2026-08-06 16:13:43,12.51954861111111,8.28224537037037,1
165,10,556.0,19,9,0,0.0,2026-08-02 11:03:00,2026-08-12 18:32:30,12.498020833333333,2.1858680555555554,0
152,3,294.3333333333333,2,1,0,0.0,2026-08-02 11:59:00,2026-08-05 14:27:27,12.459131944444444,9.356041666666666,1
60,9,537.6666666666666,14,6,0,0.0,2026-08-02 12:14:00,2026-08-12 09:34:22,12.448715277777778,2.559571759259259,0
155,2,399.0,5,0,0,0.0,2026-08-02 12:22:00,2026-08-03 12:39:22,12.443159722222223,11.431099537037037,1
106,4,402.25,4,2,0,0.0,2026-08-02 12:56:00,2026-08-05 12:13:16,12.41954861111111,9.449224537037036,1
88,3,190.33333333333334,3,0,0,0.0,2026-08-02 13:03:00,2026-08-04 17:43:28,12.4146875,10.21991898148148,1
101,1,271.0,1,0,0,0.0,2026-08-02 13:31:00,2026-08-02 13:35:31,12.395243055555556,12.392106481481482,1
115,13,304.2307692307692,12,2,1,9.99,2026-08-02 13:37:00,2026-08-14 22:23:49,12.391076388888889,0.025231481481481483,0
48,7,617.0,14,6,0,0.0,2026-08-02 13:52:00,2026-08-10 21:44:58,12.380659722222223,4.052210648148148,1
136,1,492.0,1,1,0,0.0,2026-08-02 14:15:00,2026-08-02 14:23:12,12.3646875,12.358993055555555,1
139,3,425.6666666666667,4,1,0,0.0,2026-08-02 14:44:00,2026-08-12 11:58:05,12.344548611111112,2.4597685185185183,0
171,3,591.6666666666666,7,1,0,0.0,2026-08-02 15:13:00,2026-08-04 19:26:50,12.324409722222223,10.148136574074075,1
18,3,428.6666666666667,5,1,0,0.0,2026-08-02 16:03:00,2026-08-13 21:06:05,12.2896875,1.079212962962963,0
59,7,562.2857142857143,14,1,1,0.99,2026-08-02 16:48:00,2026-08-07 17:29:39,12.2584375,7.229513888888889,1
180,9,410.6666666666667,15,3,0,0.0,2026-08-02 16:57:00,2026-08-10 17:24:58,12.2521875,4.2327662037037035,1
29,1,191.0,1,0,0,0.0,2026-08-02 17:00:00,2026-08-02 17:03:11,12.250104166666667,12.247893518518518,1
40,1,343.0,1,0,0,0.0,2026-08-02 17:36:00,2026-08-02 17:41:43,12.225104166666666,12.221134259259259,1
56,1,208.0,1,0,0,0.0,2026-08-02 17:36:00,2026-08-02 17:39:28,12.225104166666666,12.222696759259259,1
83,1,686.0,2,1,0,0.0,2026-08-02 18:52:00,2026-08-02 19:03:26,12.172326388888889,12.164386574074074,1
110,6,430.1666666666667,6,5,0,0.0,2026-08-02 19:25:00,2026-08-08 15:04:42,12.149409722222222,6.330173611111111,1
16,1,265.0,1,0,0,0.0,2026-08-02 19:45:00,2026-08-02 19:49:25,12.135520833333333,12.132453703703703,1
14,1,463.0,2,0,0,0.0,2026-08-02 20:09:00,2026-08-02 20:16:43,12.118854166666667,12.113495370370371,1
9,3,279.6666666666667,3,0,0,0.0,2026-08-02 20:18:00,2026-08-08 12:32:41,12.112604166666667,6.435740740740741,1
45,3,489.0,6,1,0,0.0,2026-08-02 20:18:00,2026-08-04 21:47:49,12.112604166666667,10.05023148148148,1
108,2,599.5,4,2,0,0.0,2026-08-02 20:18:00,2026-08-06 22:17:06,12.112604166666667,8.029895833333333,1
154,2,431.0,3,1,0,0.0,2026-08-02 21:16:00,2026-08-04 11:59:16,12.07232638888889,10.458946759259259,1
126,2,474.5,3,1,0,0.0,2026-08-03 08:08:00,2026-08-05 12:26:38,11.619548611111112,9.43994212962963,1
41,2,653.0,2,3,0,0.0,2026-08-03 08:09:00,2026-08-06 13:31:19,11.618854166666667,8.395023148148148,1
175,10,275.5,9,1,0,0.0,2026-08-03 08:41:00,2026-08-13 13:10:45,11.596631944444445,1.4093055555555556,0
24,3,598.6666666666666,5,3,0,0.0,2026-08-03 09:05:00,2026-08-08 09:25:21,11.579965277777777,6.565833333333333,1
141,2,867.0,5,2,0,0.0,2026-08-03 09:23:00,2026-08-03 21:18:15,11.567465277777778,11.070763888888889,1
13,9,238.77777777777777,7,2,0,0.0,2026-08-03 11:21:00,2026-08-08 20:27:48,11.485520833333334,6.105798611111111,1
159,6,225.5,5,1,0,0.0,2026-08-03 12:09:00,2026-08-13 15:14:03,11.4521875,1.3236805555555555,0
34,2,351.5,2,2,0,0.0,2026-08-03 12:45:00,2026-08-12 13:16:12,11.4271875,2.4055208333333336,0
177,1,515.0,2,0,0,0.0,2026-08-03 13:39:00,2026-08-03 13:47:35,11.3896875,11.383726851851852,1
168,10,232.9,7,3,0,0.0,2026-08-03 13:44:00,2026-08-13 11:06:50,11.386215277777778,1.4953587962962962,0
10,6,538.1666666666666,11,3,0,0.0,2026-08-03 13:50:00,2026-08-12 20:18:23,11.382048611111111,2.112337962962963,0
140,9,508.6666666666667,14,5,0,0.0,2026-08-03 14:13:00,2026-08-13 11:14:23,11.366076388888889,1.4901157407407408,0
172,5,565.0,7,5,0,0.0,2026-08-03 15:07:00,2026-08-05 22:39:26,11.328576388888889,9.014386574074074,1
21,2,301.0,2,0,0,0.0,2026-08-03 15:10:00,2026-08-03 23:00:58,11.326493055555556,10.99943287037037,1
164,1,953.0,3,1,0,0.0,2026-08-03 15:29:00,2026-08-03 15:44:53,11.313298611111112,11.302268518518519,1
153,4,453.0,6,2,0,0.0,2026-08-03 15:42:00,2026-08-07 09:10:34,11.304270833333334,7.576099537037037,1
105,8,547.5,15,6,0,0.0,2026-08-03 17:51:00,2026-08-11 16:53:00,11.2146875,3.254965277777778,1
23,4,409.75,3,4,0,0.0,2026-08-03 17:54:00,2026-08-07 14:55:04,11.212604166666667,7.336863425925926,1
6,1,400.0,1,1,0,0.0,2026-08-03 18:42:00,2026-08-03 18:48:40,11.179270833333334,11.174641203703704,1
51,3,515.0,2,4,0,0.0,2026-08-03 19:47:00,2026-08-10 16:08:16,11.134131944444444,4.2860300925925925,1
82,8,266.25,6,2,0,0.0,2026-08-03 19:48:00,2026-08-08 17:29:59,11.1334375,6.229282407407408,1
130,1,369.0,2,0,0,0.0,2026-08-03 20:17:00,2026-08-03 20:23:09,11.11329861111111,11.109027777777778,1
85,1,172.0,1,0,0,0.0,2026-08-03 20:47:00,2026-08-03 20:49:52,11.092465277777778,11.090474537037037,1
118,10,495.3,18,2,0,0.0,2026-08-03 20:48:00,2026-08-11 13:39:19,11.091770833333333,3.3894675925925926,1
73,8,375.5,8,4,1,19.99,2026-08-03 21:06:00,2026-08-13 22:51:32,11.079270833333334,1.0059837962962963,0
28,6,695.6666666666666,10,8,0,0.0,2026-08-03 21:24:00,2026-08-09 20:05:05,11.066770833333333,5.121574074074074,1
157,9,618.3333333333334,21,4,0,0.0,2026-08-03 22:23:00,2026-08-13 11:09:07,11.025798611111112,1.4937731481481482,0
39,6,587.6666666666666,13,5,0,0.0,2026-08-04 09:00:00,2026-08-14 23:00:09,10.5834375,0.0,0
167,4,662.5,10,2,0,0.0,2026-08-04 09:57:00,2026-08-12 17:37:56,10.543854166666666,2.223761574074074,0
92,14,479.2857142857143,22,8,0,0.0,2026-08-04 10:24:00,2026-08-14 15:46:46,10.525104166666667,0.30096064814814816,0
31,1,250.0,1,0,0,0.0,2026-08-04 10:48:00,2026-08-04 10:52:10,10.5084375,10.505543981481482,1
99,6,274.0,6,0,0,0.0,2026-08-04 11:08:00,2026-08-14 13:15:02,10.494548611111112,0.4063310185185185,0
147,3,556.0,3,4,0,0.0,2026-08-04 12:03:00,2026-08-06 15:59:25,10.456354166666667,8.292175925925926,1
142,6,381.3333333333333,7,5,0,0.0,2026-08-04 14:31:00,2026-08-09 12:50:02,10.35357638888889,5.42369212962963,1
4,4,773.0,7,7,0,0.0,2026-08-04 14:37:00,2026-08-12 11:05:23,10.349409722222223,2.4963657407407407,0
146,3,606.3333333333334,5,3,0,0.0,2026-08-04 15:42:00,2026-08-09 20:58:21,10.304270833333334,5.084583333333334,1
78,3,374.6666666666667,3,1,0,0.0,2026-08-04 15:46:00,2026-08-07 19:25:12,10.301493055555556,7.1492708333333335,1
5,4,516.75,8,0,0,0.0,2026-08-04 15:58:00,2026-08-07 20:49:15,10.293159722222223,7.090902777777778,1
134,2,385.5,4,0,0,0.0,2026-08-04 16:00:00,2026-08-07 16:34:45,10.291770833333333,7.2676388888888885,1
71,6,555.0,10,6,0,0.0,2026-08-04 16:20:00,2026-08-10 19:44:24,10.277881944444445,4.1359375,1
46,10,606.8,12,14,0,0.0,2026-08-04 16:50:00,2026-08-14 12:20:51,10.257048611111111,0.44395833333333334,0
81,1,510.0,1,1,0,0.0,2026-08-04 17:15:00,2026-08-04 17:23:30,10.2396875,10.233784722222222,1
