event_id,player_id,event_name,level_number,timestamp,session_id,revenue,platform,app_version
735,30,session_start,,2026-08-01T08:07:00,s_30_0_0,,iOS,2.4.0
736,30,level_start,1,2026-08-01T08:08:18,s_30_0_0,,iOS,2.4.0
737,30,level_fail,1,2026-08-01T08:08:48,s_30_0_0,,iOS,2.4.0
738,30,session_end,,2026-08-01T08:10:12,s_30_0_0,,iOS,2.4.0
2229,90,session_start,,2026-08-01T08:21:00,s_90_0_0,,iOS,2.4.1
2230,90,level_start,1,2026-08-01T08:21:35,s_90_0_0,,iOS,2.4.1
2231,90,level_complete,1,2026-08-01T08:22:59,s_90_0_0,,iOS,2.4.1
2232,90,session_end,,2026-08-01T08:24:54,s_90_0_0,,iOS,2.4.1
1319,54,session_start,,2026-08-01T08:43:00,s_54_0_0,,iOS,2.5.0
1320,54,level_start,9,2026-08-01T08:43:34,s_54_0_0,,iOS,2.5.0
3000,121,session_start,,2026-08-01T08:45:00,s_121_0_0,,Android,2.4.1
1321,54,level_complete,9,2026-08-01T08:45:42,s_54_0_0,,iOS,2.5.0
3001,121,level_start,6,2026-08-01T08:46:09,s_121_0_0,,Android,2.4.1
1322,54,level_start,10,2026-08-01T08:46:38,s_54_0_0,,iOS,2.5.0
3002,121,level_complete,6,2026-08-01T08:47:04,s_121_0_0,,Android,2.4.1
1323,54,level_fail,10,2026-08-01T08:47:14,s_54_0_0,,iOS,2.5.0
1324,54,level_start,11,2026-08-01T08:48:21,s_54_0_0,,iOS,2.5.0
3003,121,session_end,,2026-08-01T08:48:26,s_121_0_0,,Android,2.4.1
1325,54,level_fail,11,2026-08-01T08:51:02,s_54_0_0,,iOS,2.5.0
1326,54,session_end,,2026-08-01T08:52:29,s_54_0_0,,iOS,2.5.0
2565,104,session_start,,2026-08-01T10:19:00,s_104_0_0,,iOS,2.4.1
2566,104,level_start,1,2026-08-01T10:19:34,s_104_0_0,,iOS,2.4.1
2567,104,level_complete,1,2026-08-01T10:22:29,s_104_0_0,,iOS,2.4.1
2568,104,session_end,,2026-08-01T10:24:23,s_104_0_0,,iOS,2.4.1
1240,50,session_start,,2026-08-01T10:52:00,s_50_0_0,,Android,2.5.0
1241,50,level_start,4,2026-08-01T10:52:52,s_50_0_0,,Android,2.5.0
1242,50,level_complete,4,2026-08-01T10:55:58,s_50_0_0,,Android,2.5.0
1243,50,level_start,5,2026-08-01T10:56:33,s_50_0_0,,Android,2.5.0
1244,50,level_complete,5,2026-08-01T10:58:43,s_50_0_0,,Android,2.5.0
1245,50,level_start,6,2026-08-01T10:59:27,s_50_0_0,,Android,2.5.0
1246,50,level_complete,6,2026-08-01T11:03:00,s_50_0_0,,Android,2.5.0
1247,50,level_start,7,2026-08-01T11:04:13,s_50_0_0,,Android,2.5.0
1248,50,level_fail,7,2026-08-01T11:04:54,s_50_0_0,,Android,2.5.0
1249,50,session_end,,2026-08-01T11:06:50,s_50_0_0,,Android,2.5.0
934,43,session_start,,2026-08-01T11:15:00,s_43_0_0,,Android,2.4.1
935,43,level_start,1,2026-08-01T11:15:52,s_43_0_0,,Android,2.4.1
936,43,level_complete,1,2026-08-01T11:19:43,s_43_0_0,,Android,2.4.1
937,43,session_end,,2026-08-01T11:20:13,s_43_0_0,,Android,2.4.1
3211,132,session_start,,2026-08-01T11:28:00,s_132_0_0,,Android,2.5.0
3212,132,level_start,1,2026-08-01T11:29:07,s_132_0_0,,Android,2.5.0
3213,132,level_complete,1,2026-08-01T11:30:12,s_132_0_0,,Android,2.5.0
3214,132,level_start,2,2026-08-01T11:30:48,s_132_0_0,,Android,2.5.0
3215,132,level_fail,2,2026-08-01T11:32:36,s_132_0_0,,Android,2.5.0
3216,132,session_end,,2026-08-01T11:33:07,s_132_0_0,,Android,2.5.0
739,30,session_start,,2026-08-01T11:44:00,s_30_0_1,,iOS,2.4.0
740,30,level_start,1,2026-08-01T11:44:40,s_30_0_1,,iOS,2.4.0
741,30,level_complete,1,2026-08-01T11:46:20,s_30_0_1,,iOS,2.4.0
742,30,session_end,,2026-08-01T11:47:36,s_30_0_1,,iOS,2.4.0
3821,160,session_start,,2026-08-01T12:58:00,s_160_0_0,,iOS,2.4.1
3822,160,level_start,6,2026-08-01T12:58:53,s_160_0_0,,iOS,2.4.1
3823,160,level_fail,6,2026-08-01T13:02:50,s_160_0_0,,iOS,2.4.1
3824,160,level_start,7,2026-08-01T13:03:19,s_160_0_0,,iOS,2.4.1
3825,160,level_complete,7,2026-08-01T13:07:10,s_160_0_0,,iOS,2.4.1
3826,160,level_start,8,2026-08-01T13:07:49,s_160_0_0,,iOS,2.4.1
3827,160,level_complete,8,2026-08-01T13:11:38,s_160_0_0,,iOS,2.4.1
3828,160,level_start,9,2026-08-01T13:12:38,s_160_0_0,,iOS,2.4.1
3829,160,level_complete,9,2026-08-01T13:13:45,s_160_0_0,,iOS,2.4.1
3830,160,session_end,,2026-08-01T13:15:16,s_160_0_0,,iOS,2.4.1
